Wall time,Step,Value
1543523853.33142,900,59.0
1543523853.6233659,907,74.0
1543523853.6569421,908,63.0
1543523853.713315,909,130.0
1543523853.750356,910,77.0
1543523853.849216,912,91.0
1543523854.009137,915,163.0
1543523854.062263,916,110.0
1543523854.113298,917,108.0
1543523854.243531,920,79.0
1543523854.291789,921,94.0
1543523854.356179,922,163.0
1543523854.3976479,923,91.0
1543523854.690073,931,97.0
1543523854.734078,932,105.0
1543523854.857079,935,65.0
1543523855.090525,942,47.0
1543523855.204351,945,123.0
1543523855.56333,953,60.0
1543523855.592574,954,42.0
1543523855.656235,956,82.0
1543523855.694358,957,83.0
1543523855.7322948,958,79.0
1543523855.855967,961,75.0
1543523855.878119,962,28.0
1543523855.958892,964,90.0
1543523856.046983,966,96.0
1543523856.244519,971,73.0
1543523856.291255,972,110.0
1543523856.4448938,976,47.0
1543523856.495268,977,130.0
1543523856.536459,978,91.0
1543523856.5727339,979,77.0
1543523856.710609,982,104.0
1543523856.750566,983,92.0
1543523856.805185,984,140.0
1543523856.929465,987,42.0
1543523856.9777448,988,109.0
1543523857.2954319,996,61.0
1543523857.4619079,1000,103.0
1543523857.5323231,1002,58.0
1543523857.623648,1004,112.0
1543523857.685149,1005,159.0
1543523857.790624,1008,76.0
1543523857.969167,1012,147.0
1543523858.024451,1013,123.0
1543523858.0716429,1014,66.0
1543523858.175851,1017,84.0
1543523858.48893,1025,79.0
1543523858.556235,1027,78.0
1543523858.72369,1031,83.0
1543523858.78305,1032,152.0
1543523858.9227579,1035,84.0
1543523859.024368,1037,95.0
1543523859.1116002,1039,100.0
1543523859.295477,1044,55.0
1543523859.6837409,1051,71.0
1543523859.732953,1052,107.0
1543523859.831622,1055,96.0
1543523859.932706,1057,95.0
1543523860.228962,1063,66.0
1543523860.27141,1064,99.0
1543523860.3487291,1066,118.0
1543523860.421334,1068,27.0
1543523860.597534,1072,112.0
1543523860.796522,1076,88.0
1543523860.8404338,1078,43.0
1543523861.1144378,1083,131.0
1543523861.171072,1084,149.0
1543523861.234352,1085,160.0
1543523861.5803819,1092,101.0
1543523861.622132,1093,81.0
1543523861.8890162,1099,128.0
1543523862.046182,1103,82.0
1543523862.1099908,1104,132.0
1543523862.146059,1105,79.0
1543523862.494026,1114,15.0
1543523862.575406,1116,104.0
1543523862.7218869,1119,108.0
1543523862.959999,1125,68.0
1543523863.001926,1126,100.0
1543523863.163599,1130,70.0
1543523863.319885,1133,149.0
1543523863.433881,1135,120.0
1543523864.0659058,1149,132.0
1543523864.169514,1152,80.0
1543523864.300069,1155,101.0
1543523864.347829,1156,122.0
1543523864.3857741,1157,84.0
1543523864.51868,1160,17.0
1543523864.5540102,1161,73.0
1543523864.605503,1162,119.0
1543523865.370334,1180,50.0
1543523865.489067,1182,117.0
1543523865.5448341,1183,120.0
1543523865.631414,1185,62.0
1543523865.6696599,1186,59.0
1543523865.9369442,1192,116.0
1543523865.983375,1193,113.0
1543523866.072233,1195,76.0
1543523866.150228,1197,112.0
1543523866.224993,1199,69.0
1543523866.32399,1201,170.0
1543523866.459696,1204,69.0
1543523866.563158,1206,182.0
1543523866.6768231,1208,123.0
1543523866.738488,1210,72.0
1543523866.82065,1212,89.0
1543523866.912826,1214,91.0
1543523867.361223,1224,73.0
1543523867.55877,1228,75.0
1543523867.717535,1232,49.0
1543523867.763053,1233,108.0
1543523867.8171678,1234,137.0
1543523867.898582,1236,129.0
1543523868.020108,1239,91.0
1543523868.170041,1242,143.0
1543523868.243241,1244,77.0
1543523868.4119198,1247,110.0
1543523868.590326,1253,22.0
1543523868.646924,1255,73.0
1543523868.726298,1257,104.0
1543523868.7815511,1258,143.0
1543523868.904952,1261,42.0
1543523868.9458141,1262,96.0
1543523868.970827,1263,36.0
1543523869.08304,1266,76.0
1543523869.440999,1274,200.0
1543523869.656631,1279,32.0
1543523869.750208,1281,177.0
1543523869.965394,1287,141.0
1543523870.121088,1291,113.0
1543523870.159049,1292,85.0
1543523870.205686,1293,117.0
1543523870.276607,1294,200.0
1543523870.5359418,1300,81.0
1543523870.668291,1303,148.0
1543523870.9946501,1310,160.0
1543523871.109358,1312,98.0
1543523871.212854,1315,92.0
1543523871.262474,1316,120.0
1543523871.402273,1319,114.0
1543523871.674453,1325,117.0
1543523871.7569852,1327,125.0
1543523871.9181492,1330,162.0
1543523872.098952,1333,132.0
1543523872.138888,1334,86.0
1543523872.1956108,1335,131.0
1543523872.24886,1336,88.0
1543523872.290175,1337,89.0
1543523872.529248,1343,78.0
1543523872.761127,1349,136.0
1543523873.0695832,1355,195.0
1543523873.39309,1361,79.0
1543523873.6221812,1366,88.0
1543523873.857856,1370,67.0
1543523874.228171,1377,43.0
1543523874.341982,1379,175.0
1543523874.502335,1382,81.0
1543523874.551221,1384,13.0
1543523874.5896902,1385,90.0
1543523874.73748,1388,103.0
1543523874.779775,1389,95.0
1543523874.88654,1391,91.0
1543523874.925479,1392,88.0
1543523875.04444,1395,73.0
1543523875.8292422,1412,89.0
1543523875.879264,1413,125.0
1543523875.926867,1414,118.0
1543523876.189101,1419,153.0
1543523876.35549,1422,121.0
1543523876.585699,1426,152.0
1543523876.6301692,1427,76.0
1543523876.6762161,1428,112.0
1543523876.869876,1432,107.0
1543523876.892257,1433,30.0
1543523876.938278,1434,113.0
1543523877.026193,1436,99.0
1543523877.1079528,1438,123.0
1543523877.202924,1440,118.0
1543523877.3021078,1442,149.0
1543523877.691641,1450,152.0
1543523877.9918778,1455,168.0
1543523878.0362408,1456,75.0
1543523878.5425029,1465,87.0
1543523878.581776,1466,86.0
1543523879.1158998,1477,151.0
1543523879.551544,1485,56.0
1543523879.605731,1486,132.0
1543523879.767504,1489,200.0
1543523879.863513,1491,118.0
1543523879.9281049,1492,180.0
1543523880.29199,1500,120.0
1543523880.3519602,1501,161.0
1543523880.3767,1502,37.0
1543523880.435384,1503,132.0
1543523880.567332,1506,141.0
1543523880.7021718,1508,168.0
1543523880.7652931,1509,167.0
1543523880.838277,1510,200.0
1543523881.251277,1518,78.0
1543523881.5476632,1523,90.0
1543523881.622689,1524,200.0
1543523881.831809,1527,200.0
1543523882.21029,1534,200.0
1543523882.305048,1536,72.0
1543523882.821156,1546,172.0
1543523883.1059148,1551,183.0
1543523883.1476748,1552,78.0
1543523883.243948,1554,98.0
1543523883.310207,1555,162.0
1543523883.650697,1561,17.0
1543523884.052683,1568,82.0
1543523884.10863,1569,127.0
1543523884.669336,1578,134.0
1543523884.901891,1582,101.0
1543523884.9778671,1584,82.0
1543523885.196239,1588,170.0
1543523885.743422,1597,117.0
1543523885.8415518,1599,91.0
1543523886.0056279,1602,163.0
1543523886.078387,1604,63.0
1543523886.116003,1605,62.0
1543523886.36768,1610,128.0
1543523886.534612,1613,100.0
1543523886.740819,1618,101.0
1543523886.849729,1620,111.0
1543523887.2034628,1626,149.0
1543523887.264308,1627,160.0
1543523887.333762,1628,200.0
1543523887.623542,1632,200.0
1543523887.883044,1637,200.0
1543523888.0394392,1640,177.0
1543523888.132391,1642,84.0
1543523888.275551,1645,156.0
1543523888.461339,1648,104.0
1543523888.737996,1652,200.0
1543523889.2199302,1659,153.0
1543523889.306465,1660,143.0
1543523889.3475149,1661,81.0
1543523889.786666,1668,69.0
1543523889.938014,1670,200.0
1543523890.038839,1672,172.0
1543523890.1950002,1675,87.0
1543523890.253191,1676,145.0
1543523890.624473,1682,143.0
1543523890.673184,1683,118.0
1543523891.156677,1691,81.0
1543523891.29481,1694,200.0
1543523891.355179,1695,130.0
1543523891.409284,1696,90.0
1543523891.483725,1697,200.0
1543523891.614292,1699,136.0
1543523891.790933,1702,200.0
1543523892.177501,1709,183.0
1543523892.2036638,1710,30.0
1543523892.49975,1715,94.0
1543523892.670617,1717,200.0
1543523892.753825,1718,185.0
1543523892.825057,1719,130.0
1543523893.42541,1728,171.0
